,game_global_ranking,game_title,console,year_of_release,genre,publisher,northamerican_sales,europe_sales,japan_sales,othercontry_sales,world_sales,game_title_normalized
7883,7885,espn international track & field,ps2,2000,sports,konami digital entertainment,0.09,0.07,0.0,0.02,0.19 ,espninternationaltrack field
7884,7886,lunar legend,gba,2002,role-playing,media rings,0.14,0.05,0.0,0.0,0.19 ,lunarlegend
7885,7887,conflict: global terror,ps2,2005,shooter,eidos interactive,0.09,0.07,0.0,0.02,0.19 ,conflict globalterror
7886,7888,valhalla knights 3,psv,2013,role-playing,xseed games,0.04,0.01,0.12,0.01,0.19 ,valhallaknights3
7887,7889,tamagotchi party on!,wii,2006,misc,namco bandai games,0.12,0.0,0.06,0.01,0.19 ,tamagotchipartyon 
7888,7890,hisshou pachinko*pachi-slot kouryaku series vol. 5: cr shinseiki evangelion * pachi-slot shinseiki evangelion,ps2,2006,misc,d3publisher,0.0,0.0,0.19,0.0,0.19 ,hisshoupachinko pachi slotkouryakuseriesvol 5 crshinseikievangelion pachi slotshinseikievangelion
7889,7891,brunswick pro bowling,ps3,2010,sports,505 games,0.1,0.06,0.0,0.03,0.19 ,brunswickprobowling
7890,7892,shaun white skateboarding,ps3,2010,sports,ubisoft,0.11,0.05,0.0,0.03,0.19 ,shaunwhiteskateboarding
7891,7893,hulk,gc,2003,action,universal interactive,0.15,0.04,0.0,0.01,0.19 ,hulk
7892,7894,the heavy rain and beyond: two souls collection,ps4,2016,action,sony computer entertainment,0.0,0.16,0.0,0.03,0.19 ,theheavyrainandbeyond twosoulscollection
7893,7895,cabela's survival: shadows of katmai,ps3,2011,sports,activision,0.11,0.05,0.0,0.03,0.19 ,cabela ssurvival shadowsofkatmai
7894,7896,shaun white skateboarding,wii,2010,sports,ubisoft,0.14,0.03,0.0,0.01,0.19 ,shaunwhiteskateboarding
7895,7897,boogie,ps2,2007,misc,electronic arts,0.09,0.07,0.0,0.02,0.19 ,boogie
7896,7898,gungrave,ps2,2002,shooter,activision,0.09,0.07,0.0,0.02,0.19 ,gungrave
7897,7899,phantasy star universe,ps2,2006,role-playing,sega,0.0,0.0,0.19,0.0,0.19 ,phantasystaruniverse
7898,7900,transworld surf,ps2,2002,sports,atari,0.09,0.07,0.0,0.02,0.19 ,transworldsurf
7899,7901,god eater resurrection,psv,2015,action,namco bandai games,0.0,0.0,0.19,0.0,0.19 ,godeaterresurrection
7900,7902,tenchu: fatal shadows,ps2,2004,action,sega,0.09,0.07,0.0,0.02,0.19 ,tenchu fatalshadows
7901,7903,active health with carol vorderman,ds,2009,sports,nintendo,0.0,0.18,0.0,0.01,0.19 ,activehealthwithcarolvorderman
7902,7904,escape the museum,ds,2010,adventure,astragon,0.05,0.12,0.0,0.02,0.19 ,escapethemuseum
7903,7905,the legend of spyro: a new beginning,gc,2006,platform,vivendi games,0.15,0.04,0.0,0.01,0.19 ,thelegendofspyro anewbeginning
7904,7906,international soccer,2600,1981,sports,mattel interactive,0.18,0.01,0.0,0.0,0.19 ,internationalsoccer
7905,7907,sing4: the hits edition,wii,2011,misc,crave entertainment,0.18,0.0,0.0,0.01,0.19 ,sing4 thehitsedition
7906,7908,jewel master: cradle of athena,ds,2010,puzzle,storm city games,0.18,0.0,0.0,0.01,0.19 ,jewelmaster cradleofathena
7907,7909,princess maker: yumemiru yosei,ps,1997,strategy,sony computer entertainment,0.0,0.0,0.18,0.01,0.19 ,princessmaker yumemiruyosei
7909,7911,big air,ps,1999,sports,accolade,0.1,0.07,0.0,0.01,0.19 ,bigair
7910,7912,shining force ii,gen,1993,strategy,sega,0.0,0.0,0.19,0.0,0.19 ,shiningforceii
7911,7913,gallop racer,ps,1999,sports,tecmo koei,0.0,0.0,0.18,0.01,0.19 ,gallopracer
7912,7914,harry potter and the prisoner of azkaban,xb,2004,action,electronic arts,0.14,0.04,0.0,0.01,0.19 ,harrypotterandtheprisonerofazkaban
7913,7915,nascar unleashed,3ds,2011,racing,activision,0.18,0.0,0.0,0.01,0.19 ,nascarunleashed
7914,7916,3rd super robot wars z jigoku hen,psv,2014,role-playing,namco bandai games,0.0,0.0,0.19,0.0,0.19 ,3rdsuperrobotwarszjigokuhen
7915,7917,sudoku gridmaster (jp sales),ds,2006,puzzle,nintendo,0.0,0.0,0.19,0.0,0.19 ,sudokugridmaster jpsales 
7916,7918,dynasty warriors gundam,x360,2007,action,namco bandai games,0.15,0.01,0.02,0.01,0.19 ,dynastywarriorsgundam
7917,7919,taiko no tatsujin: wii u version!,wiiu,2013,misc,namco bandai games,0.0,0.0,0.19,0.0,0.19 ,taikonotatsujin wiiuversion 
7918,7920,monsters vs. aliens,ps2,2009,action,activision,0.11,0.0,0.0,0.08,0.19 ,monstersvs aliens
7919,7921,csi: fatal conspiracy,ps3,2010,adventure,ubisoft,0.11,0.05,0.0,0.02,0.19 ,csi fatalconspiracy
7920,7922,college slam,ps,1995,sports,acclaim entertainment,0.1,0.07,0.0,0.01,0.19 ,collegeslam
7921,7923,arcania: gothic 4,pc,2010,role-playing,jowood productions,0.09,0.08,0.0,0.02,0.19 ,arcania gothic4
7922,7924,mushroom men: the spore wars,wii,2008,action,southpeak games,0.17,0.01,0.0,0.01,0.19 ,mushroommen thesporewars
7923,7925,zumba fitness rush,x360,2012,sports,505 games,0.0,0.16,0.0,0.02,0.19 ,zumbafitnessrush
7924,7926,pro yaky? spirits 4,ps2,2007,sports,konami digital entertainment,0.0,0.0,0.19,0.0,0.19 ,proyaky spirits4
7925,7927,pictionary,ds,2010,puzzle,thq,0.1,0.07,0.0,0.02,0.19 ,pictionary
7926,7928,soulcalibur legends,wii,2007,action,namco bandai games,0.16,0.01,0.0,0.01,0.19 ,soulcaliburlegends
7927,7929,daigasso! band brothers,ds,2004,misc,nintendo,0.0,0.0,0.19,0.0,0.19 ,daigasso bandbrothers
7928,7930,rise of the kasai,ps2,2005,action,sony computer entertainment,0.09,0.07,0.0,0.02,0.19 ,riseofthekasai
7929,7931,thoroughbred breeder,snes,1993,simulation,hect,0.0,0.0,0.19,0.0,0.19 ,thoroughbredbreeder
7930,7932,f1 2011,pc,2011,racing,codemasters,0.0,0.15,0.0,0.04,0.19 ,f12011
7931,7933,momotarou dentetsu world,ds,2010,misc,hudson soft,0.0,0.0,0.19,0.0,0.19 ,momotaroudentetsuworld
7932,7934,nobunaga no yabou: souzou,ps3,2013,strategy,tecmo koei,0.0,0.0,0.19,0.0,0.19 ,nobunaganoyabou souzou
7933,7935,doctor who: return to earth,wii,2010,adventure,asylum entertainment,0.0,0.16,0.0,0.02,0.19 ,doctorwho returntoearth
7934,7936,the munchables,wii,2009,action,namco bandai games,0.17,0.0,0.0,0.01,0.19 ,themunchables
7935,7937,we dance,wii,2011,misc,nordic games,0.0,0.17,0.0,0.02,0.19 ,wedance
7936,7938,chibi-robo! park patrol,ds,2007,adventure,unknown,0.0,0.0,0.19,0.0,0.19 ,chibi robo parkpatrol
7937,7939,bolt,ps3,2008,adventure,disney interactive studios,0.12,0.05,0.0,0.02,0.19 ,bolt
7938,7940,singstar: ultimate party,ps4,2014,misc,sony computer entertainment europe,0.0,0.16,0.0,0.03,0.19 ,singstar ultimateparty
7939,7941,mathews bowhunting,wii,2010,sports,zoo games,0.18,0.0,0.0,0.01,0.19 ,mathewsbowhunting
7940,7942,3rd super robot wars z: tengoku-hen,psv,2015,action,namco bandai games,0.0,0.0,0.19,0.0,0.19 ,3rdsuperrobotwarsz tengoku hen
7941,7943,one piece: unlimited adventure,wii,2007,adventure,namco bandai games,0.07,0.0,0.11,0.01,0.19 ,onepiece unlimitedadventure
7942,7944,remington super slam hunting: north america,wii,2010,sports,mastiff,0.18,0.0,0.0,0.01,0.19 ,remingtonsuperslamhunting northamerica
7943,7945,crash & spyro superpack,gba,2005,platform,vivendi games,0.13,0.05,0.0,0.0,0.19 ,crash spyrosuperpack
7944,7946,earth defense force: insect armageddon,x360,2011,shooter,d3publisher,0.1,0.05,0.03,0.01,0.19 ,earthdefenseforce insectarmageddon
7945,7947,face training,ds,2007,misc,nintendo,0.0,0.0,0.19,0.0,0.19 ,facetraining
7947,7949,thunderstrike 2,ps,1994,simulation,core design ltd.,0.1,0.07,0.0,0.01,0.19 ,thunderstrike2
7948,7950,disney's meet the robinsons,wii,2007,action,disney interactive studios,0.17,0.0,0.0,0.01,0.19 ,disney smeettherobinsons
7949,7951,call of duty: world at war,pc,2008,shooter,activision,0.02,0.13,0.0,0.03,0.19 ,callofduty worldatwar
7950,7952,pro yaky? spirits 2012,ps3,2012,sports,konami digital entertainment,0.0,0.0,0.19,0.0,0.19 ,proyaky spirits2012
7951,7953,kuma-tomo,3ds,2013,misc,namco bandai games,0.0,0.0,0.19,0.0,0.19 ,kuma tomo
7952,7954,super real mahjong p v,sat,1995,misc,seta corporation,0.0,0.0,0.19,0.0,0.19 ,superrealmahjongpv
7954,7956,grand slam tennis 2,x360,2012,sports,electronic arts,0.1,0.07,0.0,0.02,0.19 ,grandslamtennis2
7955,7957,penguin no mondai x: tenkuu no 7 senshi,ds,2009,action,konami digital entertainment,0.0,0.0,0.19,0.0,0.19 ,penguinnomondaix tenkuuno7senshi
7956,7958,the scorpion king: sword of osiris,gba,2002,action,vivendi games,0.13,0.05,0.0,0.0,0.19 ,thescorpionking swordofosiris
7957,7959,bubsy 3d,ps,1996,platform,accolade,0.1,0.07,0.0,0.01,0.19 ,bubsy3d
7958,7960,reel fishing paradise 3d,3ds,2011,sports,marvelous interactive,0.12,0.0,0.06,0.01,0.19 ,reelfishingparadise3d
7959,7961,ncaa final four 2001,ps2,2000,sports,sony computer entertainment,0.09,0.07,0.0,0.02,0.19 ,ncaafinalfour2001
7960,7962,farmtopia,ds,2010,simulation,505 games,0.18,0.0,0.0,0.01,0.19 ,farmtopia
7961,7963,robin hood: defender of the crown,ps2,2003,strategy,capcom,0.09,0.07,0.0,0.02,0.19 ,robinhood defenderofthecrown
7962,7964,sd gundam gx,snes,1994,strategy,namco bandai games,0.0,0.0,0.19,0.0,0.19 ,sdgundamgx
7963,7965,r-type final,ps2,2003,shooter,metro 3d,0.09,0.07,0.0,0.02,0.19 ,r typefinal
7964,7966,jackie chan adventures: legend of the dark hand,gba,2001,action,activision,0.13,0.05,0.0,0.0,0.19 ,jackiechanadventures legendofthedarkhand
7965,7967,motogp,wii,2009,racing,capcom,0.05,0.11,0.0,0.02,0.19 ,motogp
7966,7968,sega gt 2002,xb,2002,racing,sega,0.12,0.03,0.03,0.01,0.19 ,segagt2002
7967,7969,ty the tasmanian tiger 3: night of the quinkan,ps2,2005,action,activision,0.09,0.07,0.0,0.02,0.19 ,tythetasmaniantiger3 nightofthequinkan
7968,7970,wwe smackdown vs. raw 2009,ds,2008,fighting,thq,0.15,0.02,0.0,0.01,0.19 ,wwesmackdownvs raw2009
7969,7971,pro evolution soccer 2014,3ds,2013,action,konami digital entertainment,0.0,0.0,0.19,0.0,0.19 ,proevolutionsoccer2014
7970,7972,samurai warriors 2: empires,ps2,2006,action,tecmo koei,0.0,0.0,0.19,0.0,0.19 ,samuraiwarriors2 empires
7971,7973,blood omen 2,xb,2002,action,eidos interactive,0.14,0.04,0.0,0.01,0.19 ,bloodomen2
7972,7974,jurassic: the hunted,ps3,2009,shooter,activision,0.17,0.0,0.0,0.02,0.19 ,jurassic thehunted
7973,7975,j-league pro soccer club o tsukurou! 5,ps2,2007,sports,sega,0.0,0.0,0.19,0.0,0.19 ,j leagueprosoccerclubotsukurou 5
7974,7976,harry potter: quidditch world cup,xb,2003,sports,electronic arts,0.14,0.04,0.0,0.01,0.19 ,harrypotter quidditchworldcup
7975,7977,dance central: spotlight,xone,2014,misc,microsoft game studios,0.15,0.03,0.0,0.0,0.19 ,dancecentral spotlight
7976,7978,little battlers experience w,psp,2012,role-playing,level 5,0.0,0.0,0.19,0.0,0.19 ,littlebattlersexperiencew
7977,7979,magical starsign (us sales),ds,2006,role-playing,nintendo,0.16,0.03,0.0,0.0,0.19 ,magicalstarsign ussales 
7978,7980,tekken tag tournament 2,wiiu,2012,fighting,namco bandai games,0.09,0.07,0.01,0.01,0.19 ,tekkentagtournament2
7979,7981,hot wheels: battle force 5,wii,2009,racing,activision,0.17,0.0,0.0,0.01,0.19 ,hotwheels battleforce5
7980,7982,dragon blade: wrath of fire,wii,2007,action,d3publisher,0.17,0.0,0.0,0.01,0.19 ,dragonblade wrathoffire
7981,7983,la pucelle: tactics,ps2,2002,role-playing,tecmo koei,0.09,0.07,0.0,0.02,0.19 ,lapucelle tactics
7982,7984,phantasy star nova,psv,2014,role-playing,sega,0.0,0.0,0.19,0.0,0.19 ,phantasystarnova
7983,7985,sbk x: superbike world championship,x360,2010,racing,black bean games,0.1,0.07,0.0,0.02,0.19 ,sbkx superbikeworldchampionship
7984,7986,samurai warriors: state of war,psp,2005,action,tecmo koei,0.07,0.0,0.11,0.01,0.19 ,samuraiwarriors stateofwar
7985,7987,tiger woods pga tour 07,xb,2006,sports,electronic arts,0.13,0.05,0.0,0.01,0.19 ,tigerwoodspgatour07
7986,7988,call of juarez,x360,2007,shooter,ubisoft,0.14,0.02,0.0,0.01,0.19 ,callofjuarez
7987,7989,star wars: the clone wars & tetris worlds,xb,2002,misc,microsoft game studios,0.14,0.04,0.0,0.01,0.19 ,starwars theclonewars tetrisworlds
7988,7990,the bee game,ds,2007,adventure,midway games,0.17,0.0,0.0,0.01,0.19 ,thebeegame
7989,7991,everquest online adventures: frontiers,ps2,2003,role-playing,sony online entertainment,0.09,0.07,0.0,0.02,0.19 ,everquestonlineadventures frontiers
7990,7992,cabela's survival: shadows of katmai,x360,2011,sports,activision,0.14,0.03,0.0,0.01,0.19 ,cabela ssurvival shadowsofkatmai
7991,7993,nba ballers: chosen one,x360,2008,sports,midway games,0.17,0.0,0.0,0.01,0.19 ,nbaballers chosenone
7992,7994,wwe all stars,psp,2011,fighting,thq,0.12,0.04,0.0,0.03,0.19 ,wweallstars
7993,7995,treasures of the deep,ps,1997,action,namco bandai games,0.1,0.07,0.0,0.01,0.19 ,treasuresofthedeep
7994,7996,phantasy star online ver. 2,dc,2001,role-playing,sega,0.0,0.0,0.19,0.0,0.19 ,phantasystaronlinever 2
7995,7997,eyepet & friends,ps3,2011,simulation,sony computer entertainment,0.06,0.09,0.0,0.03,0.19 ,eyepet friends
7996,7998,the lord of the rings: war in the north,pc,2011,action,warner bros. interactive entertainment,0.04,0.11,0.0,0.03,0.18 ,thelordoftherings warinthenorth
7997,7999,major league baseball 2k10,ps3,2010,sports,take-two interactive,0.17,0.0,0.0,0.01,0.18 ,majorleaguebaseball2k10
7998,8000,fight club,ps2,2004,fighting,vivendi games,0.09,0.07,0.0,0.02,0.18 ,fightclub
7999,8001,hello kitty: birthday adventures,ds,2010,adventure,namco bandai games,0.06,0.11,0.0,0.02,0.18 ,hellokitty birthdayadventures
8000,8002,syndicate,x360,2012,shooter,electronic arts,0.1,0.06,0.0,0.02,0.18 ,syndicate
8001,8003,dance dance revolution: disney grooves,wii,2009,simulation,konami digital entertainment,0.17,0.0,0.0,0.01,0.18 ,dancedancerevolution disneygrooves
8002,8004,pure futbol,x360,2010,sports,ubisoft,0.08,0.09,0.0,0.02,0.18 ,purefutbol
8003,8005,harvest moon: a wonderful life special edition,ps2,2004,simulation,505 games,0.09,0.07,0.0,0.02,0.18 ,harvestmoon awonderfullifespecialedition
8004,8006,sports illustrated for kids: football,gba,2003,sports,bam! entertainment,0.13,0.05,0.0,0.0,0.18 ,sportsillustratedforkids football
8005,8007,the last airbender,ds,2010,action,thq,0.13,0.04,0.0,0.01,0.18 ,thelastairbender
8006,8008,happy cooking,ds,2006,simulation,ubisoft,0.17,0.0,0.0,0.01,0.18 ,happycooking
8007,8009,.hack//quarantine part 4: the final chapter,ps2,2003,role-playing,atari,0.09,0.07,0.0,0.02,0.18 , hack  quarantinepart4 thefinalchapter
8008,8010,close combat: first to fight,xb,2005,shooter,take-two interactive,0.14,0.04,0.0,0.01,0.18 ,closecombat firsttofight
8009,8011,motogp 14,ps4,2014,racing,milestone s.r.l.,0.04,0.11,0.0,0.04,0.18 ,motogp14
8010,8012,indiana jones and the emperor's tomb,xb,2003,action,lucasarts,0.14,0.04,0.0,0.01,0.18 ,indianajonesandtheemperor stomb
8011,8013,nba live 08,wii,2007,sports,electronic arts,0.17,0.0,0.0,0.02,0.18 ,nbalive08
8012,8014,buffy the vampire slayer: chaos bleeds,ps2,2003,action,vivendi games,0.09,0.07,0.0,0.02,0.18 ,buffythevampireslayer chaosbleeds
8013,8015,half-minute hero,psp,2009,role-playing,rising star games,0.08,0.02,0.07,0.02,0.18 ,half minutehero
8014,8016,rock band track pack volume 2,x360,2008,misc,mtv games,0.16,0.01,0.0,0.01,0.18 ,rockbandtrackpackvolume2
8015,8017,reel fishing ii,ps,2000,sports,victor interactive,0.1,0.07,0.0,0.01,0.18 ,reelfishingii
8016,8018,ringling bros. and barnum & bailey circus,wii,2009,action,take-two interactive,0.17,0.0,0.0,0.01,0.18 ,ringlingbros andbarnum baileycircus
8017,8019,the walking dead: season one,psv,2013,adventure,square enix,0.14,0.0,0.01,0.03,0.18 ,thewalkingdead seasonone
8018,8020,ty the tasmanian tiger,xb,2002,platform,electronic arts,0.14,0.04,0.0,0.01,0.18 ,tythetasmaniantiger
8019,8021,dead or alive,sat,1997,fighting,tecmo koei,0.0,0.0,0.18,0.0,0.18 ,deadoralive
8020,8022,driving emotion type-s,ps2,2000,racing,electronic arts,0.04,0.03,0.11,0.01,0.18 ,drivingemotiontype s
8021,8023,siren,ps2,2003,adventure,sony computer entertainment,0.09,0.07,0.0,0.02,0.18 ,siren
8023,8025,narc,xb,2005,shooter,midway games,0.14,0.04,0.0,0.01,0.18 ,narc
8024,8026,naruto shippuden: dragon blade chronicles,wii,2009,action,505 games,0.11,0.02,0.05,0.01,0.18 ,narutoshippuden dragonbladechronicles
8025,8027,dynasty warriors 8: empires,ps4,2014,action,tecmo koei,0.06,0.07,0.03,0.02,0.18 ,dynastywarriors8 empires
8026,8028,super robot taisen j,gba,2005,strategy,banpresto,0.0,0.0,0.18,0.0,0.18 ,superrobottaisenj
8027,8029,evolve,pc,2015,shooter,take-two interactive,0.07,0.1,0.0,0.01,0.18 ,evolve
8028,8030,nep league ds,ds,2007,sports,jaleco,0.0,0.0,0.18,0.0,0.18 ,nepleagueds
8029,8031,ar tonelico 2: melody of metafalica,ps2,2007,role-playing,nippon ichi software,0.04,0.03,0.11,0.01,0.18 ,artonelico2 melodyofmetafalica
8030,8032,de blob 2,wii,2011,platform,thq,0.11,0.06,0.0,0.02,0.18 ,deblob2
8031,8033,lips: party classics,x360,2010,misc,microsoft game studios,0.05,0.11,0.0,0.02,0.18 ,lips partyclassics
8032,8034,casper: friends around the world,ps,2000,action,tdk core,0.1,0.07,0.0,0.01,0.18 ,casper friendsaroundtheworld
8033,8035,borderlands,pc,2009,shooter,take-two interactive,0.01,0.14,0.0,0.04,0.18 ,borderlands
8034,8036,jurassic park iii: island attack,gba,2001,adventure,konami digital entertainment,0.13,0.05,0.0,0.0,0.18 ,jurassicparkiii islandattack
8035,8037,chaotic: shadow warriors,ds,2009,action,activision,0.17,0.0,0.0,0.01,0.18 ,chaotic shadowwarriors
8036,8038,ghostbusters: the video game,psp,2009,action,atari,0.16,0.01,0.0,0.02,0.18 ,ghostbusters thevideogame
8037,8039,gameboy wars,gb,1991,strategy,nintendo,0.0,0.0,0.18,0.0,0.18 ,gameboywars
8038,8040,amplitude,ps2,2003,misc,sony computer entertainment,0.09,0.07,0.0,0.02,0.18 ,amplitude
8039,8041,alone in the dark,wii,2008,adventure,atari,0.09,0.08,0.0,0.02,0.18 ,aloneinthedark
8040,8042,company of heroes: anthology,pc,2009,strategy,thq,0.0,0.15,0.0,0.04,0.18 ,companyofheroes anthology
8041,8043,shape up,xone,2014,misc,ubisoft,0.08,0.09,0.0,0.01,0.18 ,shapeup
8042,8044,gauntlet: seven sorrows,xb,2005,role-playing,midway games,0.14,0.04,0.0,0.01,0.18 ,gauntlet sevensorrows
8043,8045,airforce delta storm,xb,2001,shooter,konami digital entertainment,0.14,0.04,0.0,0.01,0.18 ,airforcedeltastorm
8045,8047,monopoly party,xb,2002,misc,infogrames,0.14,0.04,0.0,0.01,0.18 ,monopolyparty
8046,8048,fear effect 2: retro helix,ps,2001,action,eidos interactive,0.1,0.07,0.0,0.01,0.18 ,feareffect2 retrohelix
8047,8049,how to train your dragon,ps3,2010,action,activision,0.12,0.04,0.0,0.02,0.18 ,howtotrainyourdragon
8048,8050,remember me,x360,2013,action,capcom,0.1,0.07,0.0,0.02,0.18 ,rememberme
8049,8051,international superstar soccer 2000 (jp weekly sales),n64,1999,sports,konami digital entertainment,0.0,0.0,0.18,0.0,0.18 ,internationalsuperstarsoccer2000 jpweeklysales 
8050,8052,chocobo no fushigi dungeon for wonderswan,ws,1999,role-playing,namco bandai games,0.0,0.0,0.18,0.0,0.18 ,chocobonofushigidungeonforwonderswan
8051,8053,klonoa: door to phantomile,ps,1997,platform,sony computer entertainment,0.0,0.0,0.17,0.01,0.18 ,klonoa doortophantomile
8052,8054,vietcong: purple haze,ps2,2004,shooter,gathering of developers,0.09,0.07,0.0,0.02,0.18 ,vietcong purplehaze
8053,8055,hitman: hd trilogy,x360,2013,action,square enix,0.07,0.09,0.0,0.02,0.18 ,hitman hdtrilogy
8054,8056,atari anniversary advance,gba,2002,misc,atari,0.13,0.05,0.0,0.0,0.18 ,atarianniversaryadvance
8055,8057,summer athletics: the ultimate challenge,ps2,2008,sports,dtp entertainment,0.0,0.0,0.0,0.18,0.18 ,summerathletics theultimatechallenge
8056,8058,driver: san francisco,pc,2011,racing,ubisoft,0.05,0.1,0.0,0.03,0.18 ,driver sanfrancisco
8057,8059,metal gear ac!d 2,psp,2005,strategy,konami digital entertainment,0.11,0.01,0.05,0.01,0.18 ,metalgearac d2
8058,8060,hatsune miku and future stars: project mirai,3ds,2012,misc,sega,0.0,0.0,0.18,0.0,0.18 ,hatsunemikuandfuturestars projectmirai
8059,8061,let's tap,wii,2008,misc,sega,0.09,0.06,0.01,0.02,0.18 ,let stap
8060,8062,x-men origins: wolverine,ps2,2009,action,activision,0.13,0.0,0.0,0.05,0.18 ,x menorigins wolverine
8061,8063,talkman (japan),psp,2005,misc,sony computer entertainment,0.0,0.0,0.18,0.0,0.18 ,talkman japan 
8062,8064,cabela's adventure camp,wii,2011,misc,activision,0.15,0.02,0.0,0.01,0.18 ,cabela sadventurecamp
8063,8065,lego marvel's avengers,3ds,2016,action,warner bros. interactive entertainment,0.07,0.08,0.01,0.01,0.18 ,legomarvel savengers
8064,8066,bloody roar: primal fury,gc,2002,fighting,activision,0.14,0.04,0.0,0.0,0.18 ,bloodyroar primalfury
8065,8067,shrek superslam,ds,2005,action,activision,0.17,0.0,0.0,0.01,0.18 ,shreksuperslam
8066,8068,we sing uk hits,wii,2011,misc,nordic games,0.0,0.16,0.0,0.02,0.18 ,wesingukhits
8067,8069,mega man soccer,snes,1993,sports,capcom,0.04,0.01,0.13,0.0,0.18 ,megamansoccer
8068,8070,the chronicles of narnia: prince caspian,x360,2008,action,disney interactive studios,0.16,0.01,0.0,0.01,0.18 ,thechroniclesofnarnia princecaspian
8069,8071,zhuzhu puppies,ds,2011,simulation,activision,0.13,0.04,0.0,0.01,0.18 ,zhuzhupuppies
8070,8072,rabbids party collection,wii,2010,misc,ubisoft,0.0,0.16,0.0,0.02,0.18 ,rabbidspartycollection
8071,8073,trinity universe,ps3,2009,role-playing,nippon ichi software,0.07,0.06,0.03,0.02,0.18 ,trinityuniverse
8072,8074,jewel match,ds,2010,puzzle,playv,0.05,0.12,0.0,0.02,0.18 ,jewelmatch
8073,8075,fifa soccer 07,gc,2006,sports,electronic arts,0.14,0.04,0.0,0.0,0.18 ,fifasoccer07
8074,8076,dungeon travelers 2: the royal library & the monster seal,psv,2014,role-playing,atlus,0.07,0.03,0.05,0.03,0.18 ,dungeontravelers2 theroyallibrary themonsterseal
8075,8077,dying light,pc,2015,action,warner bros. interactive entertainment,0.11,0.06,0.0,0.02,0.18 ,dyinglight
8076,8078,vampire savior: the lord of vampire,sat,1998,fighting,capcom,0.0,0.0,0.18,0.0,0.18 ,vampiresavior thelordofvampire
8077,8079,pokémon i choose you / squirtle squad game boy advance video,gba,2004,misc,nintendo,0.13,0.05,0.0,0.0,0.18 ,pokémonichooseyou squirtlesquadgameboyadvancevideo
8078,8080,super robot taisen ux,3ds,2013,role-playing,namco bandai games,0.0,0.0,0.18,0.0,0.18 ,superrobottaisenux
8079,8081,six flags fun park,ds,2008,misc,brash entertainment,0.17,0.0,0.0,0.01,0.18 ,sixflagsfunpark
8080,8082,test drive off-road wide open,xb,2001,racing,infogrames,0.15,0.03,0.0,0.01,0.18 ,testdriveoff roadwideopen
8081,8083,guilty gear xrd: sign,ps3,2014,fighting,arc system works,0.09,0.0,0.07,0.02,0.18 ,guiltygearxrd sign
8082,8084,pro yaky? spirits 2011,ps3,2011,sports,konami digital entertainment,0.0,0.0,0.18,0.0,0.18 ,proyaky spirits2011
8083,8085,ben 10 ultimate alien: cosmic destruction,x360,2010,platform,d3publisher,0.1,0.06,0.0,0.02,0.18 ,ben10ultimatealien cosmicdestruction
8084,8086,dengeki bunko fighting climax,psv,2014,fighting,sega,0.08,0.0,0.07,0.03,0.18 ,dengekibunkofightingclimax
8085,8087,battle commander: hachibushu shura no heihou,snes,1991,strategy,banpresto,0.0,0.0,0.18,0.0,0.18 ,battlecommander hachibushushuranoheihou
8087,8089,odin sphere: leifthrasir,ps4,2016,role-playing,nippon ichi software,0.06,0.03,0.07,0.02,0.18 ,odinsphere leifthrasir
8088,8090,bad boys: miami takedown,xb,2004,shooter,empire interactive,0.14,0.04,0.0,0.01,0.18 ,badboys miamitakedown
8089,8091,jampack vol. 1,ps,1996,misc,sony computer entertainment,0.1,0.07,0.0,0.01,0.18 ,jampackvol 1
8090,8092,spider-man: friend or foe,psp,2007,action,activision,0.16,0.0,0.0,0.01,0.18 ,spider man friendorfoe
8091,8093,mega man x: command mission,ps2,2004,role-playing,capcom,0.09,0.07,0.0,0.02,0.18 ,megamanx commandmission
8092,8094,tokyo xtreme racer drift,ps2,2003,racing,genki,0.09,0.07,0.0,0.02,0.18 ,tokyoxtremeracerdrift
8093,8095,moon,ps,1997,adventure,ascii entertainment,0.0,0.0,0.17,0.01,0.18 ,moon
8094,8096,fifa soccer 11,pc,2010,sports,electronic arts,0.0,0.14,0.0,0.04,0.18 ,fifasoccer11
8095,8097,lego marvel super heroes,pc,2013,action,warner bros. interactive entertainment,0.04,0.12,0.0,0.02,0.18 ,legomarvelsuperheroes
8096,8098,cabela's big game hunter 2005 adventures,xb,2004,sports,activision,0.13,0.04,0.0,0.01,0.18 ,cabela sbiggamehunter2005adventures
8097,8099,disney friends,ds,2007,simulation,disney interactive studios,0.13,0.04,0.0,0.01,0.18 ,disneyfriends
8098,8100,sesame street: elmo's letter adventure,n64,1999,misc,newkidco,0.14,0.04,0.0,0.0,0.18 ,sesamestreet elmo sletteradventure
8099,8101,re-volt,n64,1999,racing,acclaim entertainment,0.14,0.04,0.0,0.0,0.18 ,re volt
8100,8102,gokujou parodius,snes,1994,shooter,konami digital entertainment,0.0,0.0,0.18,0.0,0.18 ,gokujouparodius
8101,8103,hyperdimension neptunia,psv,2013,role-playing,compile heart,0.09,0.0,0.07,0.02,0.18 ,hyperdimensionneptunia
8102,8104,gauntlet: dark legacy,gc,2002,action,midway games,0.14,0.04,0.0,0.0,0.18 ,gauntlet darklegacy
8103,8105,a.c.e.: another century's episode 2,ps2,2006,simulation,banpresto,0.0,0.0,0.18,0.0,0.18 ,a c e  anothercentury sepisode2
